gamma,log_neg_analytic,Q_degradable_analytic_LB_on_K2way
0.0010,0.9992784721,0.9938008937
0.0020,0.9985580273,0.9886167825
0.0030,0.9978372225,0.9838117772
0.0040,0.9971160574,0.9792531087
0.0050,0.9963945317,0.9748775496
0.0060,0.9956726449,0.9706477869
0.0070,0.9949503967,0.9665391266
0.0080,0.9942277868,0.9625339946
0.0090,0.9935048147,0.9586192358
0.0100,0.9927814802,0.9547846293
0.0110,0.9920577828,0.9510220032
0.0120,0.9913337222,0.9473246729
0.0130,0.9906092981,0.9436870688
0.0140,0.9898845100,0.9401044781
0.0150,0.9891593576,0.9365728611
0.0160,0.9884338405,0.9330887165
0.0170,0.9877079584,0.9296489801
0.0180,0.9869817109,0.9262509484
0.0190,0.9862550976,0.9228922178
0.0200,0.9855281181,0.9195706375
0.0210,0.9848007722,0.9162842719
0.0220,0.9840730593,0.9130313694
0.0230,0.9833449792,0.9098103378
0.0240,0.9826165315,0.9066197231
0.0250,0.9818877158,0.9034581927
0.0260,0.9811585318,0.9003245205
0.0269,0.9804289789,0.8972175748
0.0279,0.9796990570,0.8941363077
0.0289,0.9789687656,0.8910797463
0.0299,0.9782381043,0.8880469849
0.0309,0.9775070728,0.8850371781
0.0319,0.9767756707,0.8820495354
0.0329,0.9760438976,0.8790833154
0.0339,0.9753117532,0.8761378222
0.0349,0.9745792369,0.8732124005
0.0359,0.9738463486,0.8703064329
0.0369,0.9731130878,0.8674193361
0.0379,0.9723794541,0.8645505587
0.0389,0.9716454472,0.8616995782
0.0399,0.9709110666,0.8588658991
0.0409,0.9701763120,0.8560490508
0.0419,0.9694411830,0.8532485857
0.0429,0.9687056792,0.8504640776
0.0439,0.9679698003,0.8476951204
0.0449,0.9672335458,0.8449413262
0.0459,0.9664969154,0.8422023247
0.0469,0.9657599087,0.8394777618
0.0479,0.9650225253,0.8367672984
0.0489,0.9642847648,0.8340706098
0.0499,0.9635466268,0.8313873846
0.0509,0.9628081110,0.8287173237
0.0519,0.9620692170,0.8260601401
0.0529,0.9613299443,0.8234155578
0.0539,0.9605902926,0.8207833114
0.0549,0.9598502615,0.8181631452
0.0559,0.9591098506,0.8155548131
0.0569,0.9583690595,0.8129580778
0.0579,0.9576278879,0.8103727102
0.0589,0.9568863353,0.8077984895
0.0599,0.9561444013,0.8052352021
0.0609,0.9554020856,0.8026826420
0.0619,0.9546593877,0.8001406096
0.0629,0.9539163073,0.7976089121
0.0639,0.9531728440,0.7950873628
0.0649,0.9524289973,0.7925757809
0.0659,0.9516847669,0.7900739910
0.0669,0.9509401524,0.7875818235
0.0679,0.9501951534,0.7850991136
0.0689,0.9494497695,0.7826257016
0.0699,0.9487040002,0.7801614322
0.0709,0.9479578453,0.7777061548
0.0719,0.9472113042,0.7752597232
0.0729,0.9464643767,0.7728219951
0.0739,0.9457170622,0.7703928322
0.0749,0.9449693604,0.7679721000
0.0759,0.9442212709,0.7655596677
