qber,p_depol,log_neg,E_R_corrected,SP_BB84_per_signal,SP_6state_per_signal,ratio_ER_BB,ratio_ER_6st
0.00000,0.00000,1.0000000000,1.0000000000,0.5000000000,0.3333333333,2.0000,3.0000
0.00050,0.00067,0.9992784721,0.9937959407,0.4937959407,0.3299813488,2.0126,3.0117
0.00100,0.00133,0.9985565831,0.9885922423,0.4885922423,0.3271296350,2.0233,3.0220
0.00150,0.00200,0.9978343328,0.9837663486,0.4837663486,0.3244669139,2.0336,3.0319
0.00200,0.00267,0.9971117207,0.9791859287,0.4791859287,0.3219270202,2.0434,3.0416
0.00250,0.00333,0.9963887464,0.9747881341,0.4747881341,0.3194785298,2.0531,3.0512
0.00300,0.00400,0.9956654097,0.9705359482,0.4705359482,0.3171029345,2.0626,3.0606
0.00350,0.00467,0.9949417102,0.9664049114,0.4664049114,0.3147880046,2.0720,3.0700
0.00400,0.00533,0.9942176474,0.9623776397,0.4623776397,0.3125250482,2.0814,3.0794
0.00450,0.00600,0.9934932211,0.9584411348,0.4584411348,0.3103075663,2.0907,3.0887
0.00500,0.00667,0.9927684308,0.9545853077,0.4545853077,0.3081305145,2.0999,3.0980
0.00550,0.00733,0.9920432762,0.9508020985,0.4508020985,0.3059898629,2.1091,3.1073
0.00600,0.00800,0.9913177569,0.9470849197,0.4470849197,0.3038823179,2.1184,3.1166
0.00650,0.00867,0.9905918726,0.9434282857,0.4434282857,0.3018051370,2.1276,3.1260
0.00700,0.00933,0.9898656229,0.9398275580,0.4398275580,0.2997560007,2.1368,3.1353
0.00750,0.01000,0.9891390074,0.9362787621,0.4362787621,0.2977329222,2.1461,3.1447
0.00800,0.01067,0.9884120257,0.9327784552,0.4327784552,0.2957341800,2.1553,3.1541
0.00850,0.01133,0.9876846776,0.9293236255,0.4293236255,0.2937582685,2.1646,3.1636
0.00900,0.01200,0.9869569625,0.9259116163,0.4259116163,0.2918038593,2.1740,3.1731
0.00950,0.01267,0.9862288802,0.9225400665,0.4225400665,0.2898697720,2.1833,3.1826
0.01000,0.01333,0.9855004303,0.9192068641,0.4192068641,0.2879549508,2.1927,3.1922
0.01050,0.01400,0.9847716124,0.9159101084,0.4159101084,0.2860584454,2.2022,3.2018
0.01100,0.01467,0.9840424261,0.9126480801,0.4126480801,0.2841793963,2.2117,3.2115
0.01150,0.01533,0.9833128711,0.9094192163,0.4094192163,0.2823170221,2.2212,3.2213
0.01200,0.01600,0.9825829469,0.9062220902,0.4062220902,0.2804706096,2.2309,3.2311
0.01250,0.01667,0.9818526533,0.9030553939,0.4030553939,0.2786395050,2.2405,3.2409
0.01300,0.01733,0.9811219898,0.8999179246,0.3999179246,0.2768231068,2.2503,3.2509
0.01350,0.01800,0.9803909561,0.8968085716,0.3968085716,0.2750208601,2.2601,3.2609
0.01400,0.01867,0.9796595517,0.8937263069,0.3937263069,0.2732322508,2.2699,3.2709
0.01450,0.01933,0.9789277764,0.8906701759,0.3906701759,0.2714568017,2.2799,3.2811
0.01500,0.02000,0.9781956297,0.8876392899,0.3876392899,0.2696940686,2.2899,3.2913
0.01550,0.02067,0.9774631112,0.8846328194,0.3846328194,0.2679436370,2.2999,3.3016
0.01600,0.02133,0.9767302207,0.8816499886,0.3816499886,0.2662051189,2.3101,3.3119
0.01650,0.02200,0.9759969576,0.8786900701,0.3786900701,0.2644781509,2.3203,3.3224
0.01700,0.02267,0.9752633217,0.8757523807,0.3757523807,0.2627623915,2.3307,3.3329
0.01750,0.02333,0.9745293125,0.8728362773,0.3728362773,0.2610575192,2.3411,3.3435
0.01800,0.02400,0.9737949297,0.8699411538,0.3699411538,0.2593632311,2.3516,3.3541
0.01850,0.02467,0.9730601728,0.8670664376,0.3670664376,0.2576792410,2.3622,3.3649
0.01900,0.02533,0.9723250416,0.8642115871,0.3642115871,0.2560052783,2.3728,3.3758
0.01950,0.02600,0.9715895355,0.8613760893,0.3613760893,0.2543410865,2.3836,3.3867
0.02000,0.02667,0.9708536543,0.8585594575,0.3585594575,0.2526864224,2.3945,3.3977
0.02050,0.02733,0.9701173976,0.8557612292,0.3557612292,0.2510410550,2.4054,3.4088
0.02100,0.02800,0.9693807649,0.8529809648,0.3529809648,0.2494047644,2.4165,3.4201
0.02150,0.02867,0.9686437560,0.8502182453,0.3502182453,0.2477773415,2.4277,3.4314
0.02200,0.02933,0.9679063703,0.8474726715,0.3474726715,0.2461585865,2.4390,3.4428
0.02250,0.03000,0.9671686075,0.8447438621,0.3447438621,0.2445483092,2.4504,3.4543
0.02300,0.03067,0.9664304673,0.8420314530,0.3420314530,0.2429463274,2.4619,3.4659
0.02350,0.03133,0.9656919492,0.8393350957,0.3393350957,0.2413524672,2.4735,3.4776
0.02400,0.03200,0.9649530529,0.8366544568,0.3366544568,0.2397665618,2.4852,3.4895
0.02450,0.03267,0.9642137779,0.8339892166,0.3339892166,0.2381884517,2.4971,3.5014
0.02500,0.03333,0.9634741240,0.8313390685,0.3313390685,0.2366179835,2.5090,3.5134
0.02550,0.03400,0.9627340906,0.8287037182,0.3287037182,0.2350550104,2.5211,3.5256
0.02600,0.03467,0.9619936774,0.8260828831,0.3260828831,0.2334993910,2.5334,3.5378
0.02650,0.03533,0.9612528841,0.8234762911,0.3234762911,0.2319509895,2.5457,3.5502
0.02700,0.03600,0.9605117101,0.8208836808,0.3208836808,0.2304096753,2.5582,3.5627
0.02750,0.03667,0.9597701552,0.8183048002,0.3183048002,0.2288753226,2.5708,3.5753
0.02800,0.03733,0.9590282189,0.8157394067,0.3157394067,0.2273478101,2.5836,3.5881
