eta_arm,log_neg_two_arm_bits,pirandola_bits,ratio
0.001000,0.00288395,0.00144342,1.99800100
0.001499,0.00432268,0.00216458,1.99700375
0.001998,0.00576070,0.00288611,1.99600699
0.002498,0.00719799,0.00360800,1.99501073
0.002997,0.00863458,0.00433025,1.99401496
0.003496,0.01007045,0.00505286,1.99301969
0.003995,0.01150560,0.00577583,1.99202492
0.004495,0.01294004,0.00649917,1.99103063
0.004994,0.01437377,0.00722287,1.99003684
0.005493,0.01580678,0.00794693,1.98904354
0.005992,0.01723909,0.00867135,1.98805074
0.006492,0.01867068,0.00939614,1.98705842
0.006991,0.02010157,0.01012129,1.98606660
0.007490,0.02153174,0.01084681,1.98507527
0.007989,0.02296121,0.01157270,1.98408442
0.008489,0.02438996,0.01229894,1.98309406
0.008988,0.02581802,0.01302556,1.98210419
0.009487,0.02724536,0.01375254,1.98111481
0.009986,0.02867200,0.01447989,1.98012592
0.010486,0.03009793,0.01520760,1.97913751
0.010985,0.03152316,0.01593568,1.97814959
0.011484,0.03294769,0.01666413,1.97716215
0.011983,0.03437151,0.01739295,1.97617520
0.012483,0.03579463,0.01812213,1.97518873
0.012982,0.03721705,0.01885169,1.97420274
0.013481,0.03863877,0.01958161,1.97321724
0.013980,0.04005979,0.02031190,1.97223222
0.014480,0.04148011,0.02104256,1.97124768
0.014979,0.04289973,0.02177360,1.97026362
0.015478,0.04431865,0.02250500,1.96928004
0.015977,0.04573687,0.02323677,1.96829694
0.016477,0.04715440,0.02396892,1.96731432
0.016976,0.04857123,0.02470144,1.96633218
0.017475,0.04998737,0.02543433,1.96535052
0.017974,0.05140281,0.02616759,1.96436933
0.018474,0.05281756,0.02690122,1.96338862
0.018973,0.05423161,0.02763523,1.96240838
0.019472,0.05564497,0.02836961,1.96142863
0.019971,0.05705764,0.02910437,1.96044934
0.020471,0.05846962,0.02983950,1.95947053
0.020970,0.05988091,0.03057500,1.95849220
0.021469,0.06129151,0.03131088,1.95751433
0.021968,0.06270141,0.03204714,1.95653694
0.022468,0.06411063,0.03278377,1.95556003
0.022967,0.06551917,0.03352078,1.95458358
0.023466,0.06692701,0.03425816,1.95360760
0.023965,0.06833417,0.03499593,1.95263210
0.024465,0.06974064,0.03573406,1.95165706
0.024964,0.07114643,0.03647258,1.95068249
0.025463,0.07255153,0.03721148,1.94970839
0.025962,0.07395595,0.03795075,1.94873476
0.026462,0.07535968,0.03869040,1.94776160
0.026961,0.07676273,0.03943044,1.94678890
0.027460,0.07816511,0.04017085,1.94581667
0.027959,0.07956679,0.04091164,1.94484491
0.028459,0.08096780,0.04165281,1.94387361
0.028958,0.08236813,0.04239437,1.94290277
0.029457,0.08376778,0.04313630,1.94193240
0.029956,0.08516675,0.04387862,1.94096249
0.030456,0.08656505,0.04462132,1.93999304
0.030955,0.08796266,0.04536440,1.93902406
0.031454,0.08935960,0.04610786,1.93805554
0.031953,0.09075586,0.04685171,1.93708747
0.032453,0.09215145,0.04759594,1.93611987
0.032952,0.09354636,0.04834056,1.93515273
0.033451,0.09494060,0.04908556,1.93418605
0.033950,0.09633417,0.04983094,1.93321983
0.034450,0.09772706,0.05057671,1.93225406
0.034949,0.09911928,0.05132287,1.93128875
0.035448,0.10051083,0.05206941,1.93032390
0.035947,0.10190171,0.05281634,1.92935951
0.036447,0.10329192,0.05356366,1.92839557
0.036946,0.10468146,0.05431136,1.92743208
0.037445,0.10607033,0.05505945,1.92646906
0.037944,0.10745853,0.05580793,1.92550648
0.038444,0.10884606,0.05655680,1.92454436
0.038943,0.11023293,0.05730605,1.92358269
0.039442,0.11161913,0.05805570,1.92262148
0.039941,0.11300467,0.05880573,1.92166071
0.040441,0.11438954,0.05955616,1.92070040
0.040940,0.11577374,0.06030697,1.91974054
0.041439,0.11715729,0.06105818,1.91878113
0.041938,0.11854017,0.06180978,1.91782217
0.042438,0.11992238,0.06256177,1.91686365
0.042937,0.12130394,0.06331415,1.91590559
0.043436,0.12268483,0.06406693,1.91494797
0.043935,0.12406507,0.06482009,1.91399080
0.044435,0.12544464,0.06557366,1.91303408
0.044934,0.12682355,0.06632761,1.91207781
0.045433,0.12820181,0.06708196,1.91112198
0.045932,0.12957941,0.06783670,1.91016659
0.046432,0.13095635,0.06859184,1.90921165
0.046931,0.13233263,0.06934738,1.90825716
0.047430,0.13370826,0.07010331,1.90730311
0.047929,0.13508323,0.07085963,1.90634950
0.048429,0.13645754,0.07161636,1.90539633
0.048928,0.13783121,0.07237348,1.90444361
0.049427,0.13920421,0.07313100,1.90349133
0.049926,0.14057657,0.07388891,1.90253948
0.050426,0.14194827,0.07464723,1.90158808
0.050925,0.14331933,0.07540594,1.90063712
0.051424,0.14468973,0.07616505,1.89968660
0.051923,0.14605948,0.07692456,1.89873651
0.052423,0.14742857,0.07768447,1.89778687
0.052922,0.14879703,0.07844479,1.89683766
0.053421,0.15016483,0.07920550,1.89588889
0.053920,0.15153198,0.07996661,1.89494055
0.054420,0.15289849,0.08072813,1.89399265
0.054919,0.15426435,0.08149005,1.89304519
0.055418,0.15562956,0.08225237,1.89209816
0.055917,0.15699413,0.08301509,1.89115157
0.056417,0.15835805,0.08377822,1.89020541
0.056916,0.15972133,0.08454175,1.88925968
0.057415,0.16108396,0.08530569,1.88831439
0.057914,0.16244595,0.08607003,1.88736953
0.058414,0.16380730,0.08683478,1.88642510
0.058913,0.16516801,0.08759993,1.88548110
0.059412,0.16652807,0.08836548,1.88453753
0.059911,0.16788750,0.08913145,1.88359439
0.060411,0.16924628,0.08989782,1.88265168
0.060910,0.17060442,0.09066460,1.88170940
0.061409,0.17196193,0.09143178,1.88076755
0.061908,0.17331880,0.09219938,1.87982613
0.062408,0.17467503,0.09296738,1.87888513
0.062907,0.17603062,0.09373579,1.87794456
0.063406,0.17738557,0.09450461,1.87700442
0.063905,0.17873989,0.09527384,1.87606470
0.064405,0.18009358,0.09604348,1.87512541
0.064904,0.18144663,0.09681354,1.87418655
0.065403,0.18279904,0.09758400,1.87324811
0.065902,0.18415082,0.09835487,1.87231009
0.066402,0.18550197,0.09912616,1.87137249
0.066901,0.18685249,0.09989786,1.87043532
0.067400,0.18820237,0.10066997,1.86949857
0.067899,0.18955163,0.10144250,1.86856224
0.068399,0.19090025,0.10221544,1.86762633
0.068898,0.19224824,0.10298880,1.86669085
0.069397,0.19359561,0.10376256,1.86575578
0.069896,0.19494234,0.10453675,1.86482113
0.070396,0.19628845,0.10531135,1.86388691
0.070895,0.19763392,0.10608637,1.86295310
0.071394,0.19897877,0.10686180,1.86201970
0.071893,0.20032300,0.10763765,1.86108673
0.072393,0.20166660,0.10841392,1.86015417
0.072892,0.20300957,0.10919060,1.85922203
0.073391,0.20435192,0.10996770,1.85829031
0.073890,0.20569364,0.11074523,1.85735900
0.074390,0.20703474,0.11152317,1.85642811
0.074889,0.20837522,0.11230153,1.85549763
0.075388,0.20971508,0.11308031,1.85456756
0.075887,0.21105431,0.11385951,1.85363791
0.076387,0.21239292,0.11463914,1.85270867
0.076886,0.21373091,0.11541918,1.85177984
0.077385,0.21506828,0.11619965,1.85085143
0.077884,0.21640504,0.11698054,1.84992343
0.078384,0.21774117,0.11776185,1.84899583
0.078883,0.21907668,0.11854358,1.84806865
0.079382,0.22041158,0.11932574,1.84714188
0.079881,0.22174586,0.12010833,1.84621552
0.080381,0.22307952,0.12089134,1.84528956
0.080880,0.22441257,0.12167477,1.84436402
0.081379,0.22574500,0.12245863,1.84343888
0.081878,0.22707681,0.12324291,1.84251415
0.082378,0.22840801,0.12402763,1.84158982
0.082877,0.22973860,0.12481276,1.84066591
0.083376,0.23106857,0.12559833,1.83974240
0.083875,0.23239793,0.12638432,1.83881929
0.084375,0.23372668,0.12717075,1.83789659
0.084874,0.23505482,0.12795760,1.83697429
0.085373,0.23638235,0.12874488,1.83605240
0.085872,0.23770926,0.12953259,1.83513091
0.086372,0.23903557,0.13032073,1.83420982
0.086871,0.24036126,0.13110931,1.83328913
0.087370,0.24168635,0.13189831,1.83236885
0.087869,0.24301083,0.13268774,1.83144897
0.088369,0.24433470,0.13347761,1.83052949
0.088868,0.24565797,0.13426791,1.82961041
0.089367,0.24698063,0.13505864,1.82869173
0.089866,0.24830268,0.13584981,1.82777345
0.090366,0.24962412,0.13664141,1.82685556
0.090865,0.25094497,0.13743345,1.82593808
0.091364,0.25226520,0.13822592,1.82502099
0.091863,0.25358484,0.13901882,1.82410430
0.092363,0.25490387,0.13981217,1.82318801
0.092862,0.25622229,0.14060595,1.82227212
0.093361,0.25754012,0.14140016,1.82135662
0.093860,0.25885734,0.14219481,1.82044151
0.094360,0.26017396,0.14298990,1.81952680
0.094859,0.26148999,0.14378543,1.81861249
0.095358,0.26280541,0.14458140,1.81769857
0.095857,0.26412023,0.14537781,1.81678504
0.096357,0.26543445,0.14617466,1.81587191
0.096856,0.26674808,0.14697195,1.81495916
0.097355,0.26806111,0.14776968,1.81404681
0.097854,0.26937354,0.14856785,1.81313485
0.098354,0.27068537,0.14936646,1.81222329
0.098853,0.27199661,0.15016551,1.81131211
0.099352,0.27330725,0.15096501,1.81040132
0.099851,0.27461730,0.15176495,1.80949093
0.100351,0.27592675,0.15256533,1.80858092
0.100850,0.27723561,0.15336616,1.80767130
0.101349,0.27854387,0.15416744,1.80676207
0.101848,0.27985155,0.15496915,1.80585322
0.102348,0.28115863,0.15577132,1.80494477
0.102847,0.28246511,0.15657393,1.80403670
0.103346,0.28377101,0.15737699,1.80312901
0.103845,0.28507632,0.15818049,1.80222171
0.104345,0.28638103,0.15898444,1.80131480
0.104844,0.28768516,0.15978884,1.80040827
0.105343,0.28898869,0.16059369,1.79950213
0.105842,0.29029164,0.16139899,1.79859637
0.106342,0.29159400,0.16220474,1.79769099
0.106841,0.29289577,0.16301094,1.79678600
0.107340,0.29419696,0.16381759,1.79588139
0.107839,0.29549756,0.16462469,1.79497716
0.108339,0.29679757,0.16543224,1.79407331
0.108838,0.29809700,0.16624025,1.79316984
0.109337,0.29939584,0.16704871,1.79226676
0.109836,0.30069410,0.16785762,1.79136405
0.110336,0.30199177,0.16866698,1.79046172
0.110835,0.30328886,0.16947680,1.78955977
0.111334,0.30458537,0.17028707,1.78865821
0.111833,0.30588130,0.17109780,1.78775701
0.112333,0.30717664,0.17190899,1.78685620
0.112832,0.30847140,0.17272063,1.78595576
0.113331,0.30976559,0.17353273,1.78505571
0.113830,0.31105919,0.17434528,1.78415602
0.114330,0.31235221,0.17515830,1.78325671
0.114829,0.31364465,0.17597177,1.78235778
0.115328,0.31493652,0.17678570,1.78145922
0.115827,0.31622780,0.17760009,1.78056104
0.116327,0.31751851,0.17841494,1.77966323
0.116826,0.31880864,0.17923025,1.77876580
0.117325,0.32009820,0.18004602,1.77786873
0.117824,0.32138718,0.18086226,1.77697204
0.118324,0.32267558,0.18167895,1.77607573
0.118823,0.32396341,0.18249611,1.77517978
0.119322,0.32525066,0.18331373,1.77428421
0.119821,0.32653734,0.18413182,1.77338900
0.120321,0.32782344,0.18495037,1.77249417
0.120820,0.32910898,0.18576938,1.77159970
0.121319,0.33039394,0.18658886,1.77070561
0.121818,0.33167833,0.18740880,1.76981188
0.122318,0.33296214,0.18822921,1.76891852
0.122817,0.33424539,0.18905009,1.76802553
0.123316,0.33552806,0.18987144,1.76713291
0.123815,0.33681017,0.19069325,1.76624065
0.124315,0.33809171,0.19151553,1.76534877
0.124814,0.33937267,0.19233828,1.76445724
0.125313,0.34065307,0.19316150,1.76356608
0.125812,0.34193290,0.19398519,1.76267529
0.126312,0.34321217,0.19480935,1.76178487
0.126811,0.34449086,0.19563398,1.76089480
0.127310,0.34576899,0.19645909,1.76000510
0.127809,0.34704656,0.19728466,1.75911577
0.128309,0.34832356,0.19811071,1.75822679
0.128808,0.34959999,0.19893723,1.75733818
0.129307,0.35087586,0.19976422,1.75644993
0.129806,0.35215116,0.20059169,1.75556205
0.130306,0.35342591,0.20141964,1.75467452
0.130805,0.35470009,0.20224806,1.75378736
0.131304,0.35597370,0.20307695,1.75290055
0.131803,0.35724676,0.20390632,1.75201410
0.132303,0.35851925,0.20473617,1.75112802
0.132802,0.35979118,0.20556650,1.75024229
0.133301,0.36106255,0.20639731,1.74935692
0.133800,0.36233337,0.20722859,1.74847191
0.134300,0.36360362,0.20806035,1.74758726
0.134799,0.36487331,0.20889259,1.74670296
0.135298,0.36614245,0.20972532,1.74581902
0.135797,0.36741103,0.21055852,1.74493544
0.136297,0.36867905,0.21139221,1.74405221
0.136796,0.36994651,0.21222637,1.74316934
0.137295,0.37121341,0.21306102,1.74228682
0.137794,0.37247976,0.21389616,1.74140465
0.138294,0.37374556,0.21473177,1.74052284
0.138793,0.37501080,0.21556788,1.73964139
0.139292,0.37627548,0.21640446,1.73876028
0.139791,0.37753961,0.21724153,1.73787953
0.140291,0.37880319,0.21807909,1.73699914
0.140790,0.38006622,0.21891713,1.73611909
0.141289,0.38132869,0.21975567,1.73523939
0.141788,0.38259061,0.22059468,1.73436005
0.142288,0.38385197,0.22143419,1.73348105
0.142787,0.38511279,0.22227419,1.73260241
0.143286,0.38637306,0.22311467,1.73172411
0.143785,0.38763277,0.22395565,1.73084617
0.144285,0.38889194,0.22479711,1.72996857
0.144784,0.39015055,0.22563907,1.72909132
0.145283,0.39140862,0.22648152,1.72821442
0.145782,0.39266614,0.22732446,1.72733787
0.146282,0.39392311,0.22816789,1.72646166
0.146781,0.39517954,0.22901182,1.72558580
0.147280,0.39643542,0.22985624,1.72471028
0.147779,0.39769075,0.23070115,1.72383511
0.148279,0.39894553,0.23154656,1.72296029
0.148778,0.40019977,0.23239247,1.72208581
0.149277,0.40145347,0.23323887,1.72121168
0.149776,0.40270662,0.23408577,1.72033788
0.150276,0.40395922,0.23493317,1.71946444
0.150775,0.40521129,0.23578106,1.71859133
0.151274,0.40646281,0.23662945,1.71771857
0.151773,0.40771378,0.23747835,1.71684615
0.152273,0.40896422,0.23832774,1.71597407
0.152772,0.41021411,0.23917763,1.71510233
0.153271,0.41146346,0.24002802,1.71423093
0.153770,0.41271228,0.24087892,1.71335988
0.154270,0.41396055,0.24173032,1.71248916
0.154769,0.41520828,0.24258222,1.71161878
0.155268,0.41645547,0.24343462,1.71074875
