eta_arm,log_neg_tensor_bits,er_ppt_single_bits,er_ppt_tensor_bits_if_additive,pirandola_bits,plob_single_bits,ratio_logNeg_Pir,ratio_erPPT_Pir_if_additive,notes
0.95,1.9269,0.8552,1.7104,4.3219,4.3219,0.446,0.396,high_transmission
0.9,1.8520,0.7590,1.5180,3.3219,3.3219,0.558,0.457,log_neg<Pirandola
0.85,1.7751,,, 2.7370,2.7370,0.649,,
0.8,1.6960,,,2.3219,2.3219,0.730,,
0.75,1.6147,,,2.0000,2.0000,0.807,,
0.7,1.5311,0.4984,0.9968,1.7370,1.7370,0.881,0.574,
0.65,1.4449,,,1.5146,1.5146,0.954,,
0.6180339887,1.388484,0.4196,0.8392,1.388484,1.388484,1.000,0.604,CROSSOVER_logNeg_at_1_over_phi;erPPT_STILL_BELOW_Pirandola
0.6,1.3561,0.4036,0.8072,1.3219,1.3219,1.026,0.611,log_neg>Pirandola_but_erPPT_still_below
0.55,1.2645,,,1.1520,1.1520,1.098,,
0.5,1.1699,0.3217,0.6434,1.0000,1.0000,1.170,0.643,
0.3,0.7570,0.1830,0.3660,0.5146,0.5146,,0.711,
0.316,0.7923,,,0.5479,0.5479,1.446,,
0.1,0.2750,0.0616,0.1232,0.1520,0.1520,1.809,0.810,
0.0316,0.0898,,,0.0463,0.0463,1.938,,
0.01,0.0287,0.0065,0.0130,0.0145,0.0145,1.980,0.897,
