loss_dB,cui_rate,mu_opt,plob_ub,path_alpha_scaling_ub
0.00,6.667088e-02,1.6379e-01,inf,inf
1.00,5.659802e-02,1.6379e-01,2.281584e+00,3.200925e+00
2.00,4.852459e-02,1.3257e-01,1.438141e+00,2.281584e+00
3.00,4.185134e-02,1.3257e-01,1.003430e+00,1.775692e+00
4.00,3.624563e-02,1.3257e-01,7.324215e-01,1.438141e+00
5.00,3.150206e-02,1.3257e-01,5.484123e-01,1.192122e+00
6.00,2.746285e-02,1.3257e-01,4.173258e-01,1.003430e+00
7.00,2.400481e-02,1.3257e-01,3.210740e-01,8.538234e-01
8.00,2.103041e-02,1.3257e-01,2.489465e-01,7.324215e-01
9.00,1.846151e-02,1.3257e-01,1.941174e-01,6.322116e-01
10.00,1.623486e-02,1.3257e-01,1.520031e-01,5.484123e-01
11.00,1.429877e-02,1.3257e-01,1.194051e-01,4.776194e-01
12.00,1.261062e-02,1.3257e-01,9.402646e-02,4.173258e-01
13.00,1.113504e-02,1.3257e-01,7.418089e-02,3.656337e-01
14.00,9.842469e-03,1.3257e-01,5.860926e-02,3.210740e-01
15.00,8.708025e-03,1.3257e-01,4.635895e-02,2.824878e-01
16.00,7.710666e-03,1.3257e-01,3.670177e-02,2.489465e-01
17.00,6.832501e-03,1.3257e-01,2.907660e-02,2.196962e-01
18.00,6.058247e-03,1.3257e-01,2.304831e-02,1.941174e-01
19.00,5.374795e-03,1.3257e-01,1.827775e-02,1.716964e-01
20.00,4.770911e-03,1.0730e-01,1.449957e-02,1.520031e-01
21.00,4.238252e-03,1.0730e-01,1.150549e-02,1.346752e-01
22.00,3.766411e-03,1.0730e-01,9.131629e-03,1.194051e-01
23.00,3.348166e-03,1.0730e-01,7.248784e-03,1.059305e-01
24.00,2.977206e-03,1.0730e-01,5.754935e-03,9.402646e-02
25.00,2.648013e-03,1.0730e-01,4.569431e-03,8.349910e-02
26.00,2.355745e-03,1.0730e-01,3.628445e-03,7.418089e-02
27.00,2.096152e-03,1.0730e-01,2.881431e-03,6.592645e-02
28.00,1.865495e-03,1.0730e-01,2.288331e-03,5.860926e-02
29.00,1.660479e-03,1.0730e-01,1.817390e-03,5.211894e-02
30.00,1.478202e-03,1.0730e-01,1.443417e-03,4.635895e-02
31.00,1.316097e-03,1.0730e-01,1.146429e-03,4.124466e-02
32.00,1.171899e-03,1.0730e-01,9.105663e-04,3.670177e-02
33.00,1.043602e-03,1.0730e-01,7.232416e-04,3.266494e-02
34.00,9.294329e-04,1.0730e-01,5.744616e-04,2.907660e-02
35.00,8.278180e-04,1.0730e-01,4.562924e-04,2.588600e-02
36.00,7.373636e-04,1.0730e-01,3.624341e-04,2.304831e-02
37.00,6.568335e-04,1.0730e-01,2.878842e-04,2.052391e-02
38.00,5.851304e-04,1.0730e-01,2.286699e-04,1.827775e-02
39.00,5.212801e-04,1.0730e-01,1.816360e-04,1.627880e-02
40.00,4.644173e-04,1.0730e-01,1.442767e-04,1.449957e-02
41.00,4.137731e-04,1.0730e-01,1.146019e-04,1.291567e-02
42.00,3.686642e-04,1.0730e-01,9.103078e-05,1.150549e-02
43.00,3.284828e-04,1.0730e-01,7.230785e-05,1.024982e-02
44.00,2.926887e-04,1.0730e-01,5.743587e-05,9.131629e-03
45.00,2.608012e-04,1.0730e-01,4.562274e-05,8.135767e-03
46.00,2.323925e-04,1.0730e-01,3.623932e-05,7.248784e-03
47.00,2.070822e-04,1.0730e-01,2.878584e-05,6.458718e-03
48.00,1.845314e-04,1.0730e-01,2.286536e-05,5.754935e-03
49.00,1.644387e-04,1.0730e-01,1.816257e-05,5.127978e-03
50.00,1.465356e-04,1.0730e-01,1.442702e-05,4.569431e-03
51.00,1.305831e-04,1.0730e-01,1.145978e-05,4.071808e-03
52.00,1.163684e-04,1.0730e-01,9.102819e-06,3.628445e-03
