loss_dB_total,tf_rate,ub_candA_worst,gap_candA,ub_plob_end2end_direct,gap_plob_direct
0.000,8.251346e-04,9.965784e+01,9.965702e+01,9.965784e+01,9.965702e+01
1.000,7.303420e-04,3.200925e+00,3.200195e+00,2.281584e+00,2.280854e+00
2.000,6.469143e-04,2.281584e+00,2.280937e+00,1.438141e+00,1.437494e+00
3.000,5.733930e-04,1.775692e+00,1.775118e+00,1.003430e+00,1.002856e+00
4.000,5.085257e-04,1.438141e+00,1.437632e+00,7.324215e-01,7.319129e-01
5.000,4.512335e-04,1.192122e+00,1.191671e+00,5.484123e-01,5.479610e-01
6.000,4.005835e-04,1.003430e+00,1.003029e+00,4.173258e-01,4.169252e-01
7.000,3.557675e-04,8.538234e-01,8.534676e-01,3.210740e-01,3.207182e-01
8.000,3.160833e-04,7.324215e-01,7.321054e-01,2.489465e-01,2.486304e-01
9.000,2.809189e-04,6.322116e-01,6.319307e-01,1.941174e-01,1.938365e-01
10.000,2.497405e-04,5.484123e-01,5.481625e-01,1.520031e-01,1.517534e-01
11.000,2.220809e-04,4.776194e-01,4.773973e-01,1.194051e-01,1.191830e-01
12.000,1.975310e-04,4.173258e-01,4.171282e-01,9.402646e-02,9.382893e-02
13.000,1.757315e-04,3.656337e-01,3.654580e-01,7.418089e-02,7.400516e-02
14.000,1.563665e-04,3.210740e-01,3.209176e-01,5.860926e-02,5.845289e-02
15.000,1.391582e-04,2.824878e-01,2.823486e-01,4.635895e-02,4.621979e-02
16.000,1.238614e-04,2.489465e-01,2.488227e-01,3.670177e-02,3.657791e-02
17.000,1.102601e-04,2.196962e-01,2.195859e-01,2.907660e-02,2.896634e-02
18.000,9.816320e-05,1.941174e-01,1.940193e-01,2.304831e-02,2.295014e-02
19.000,8.740194e-05,1.716964e-01,1.716090e-01,1.827775e-02,1.819035e-02
20.000,7.782689e-05,1.520031e-01,1.519253e-01,1.449957e-02,1.442174e-02
21.000,6.930579e-05,1.346752e-01,1.346059e-01,1.150549e-02,1.143618e-02
22.000,6.172139e-05,1.194051e-01,1.193434e-01,9.131629e-03,9.069908e-03
23.000,5.496976e-05,1.059305e-01,1.058756e-01,7.248784e-03,7.193814e-03
24.000,4.895870e-05,9.402646e-02,9.397750e-02,5.754935e-03,5.705977e-03
25.000,4.360636e-05,8.349910e-02,8.345549e-02,4.569431e-03,4.525825e-03
26.000,3.884008e-05,7.418089e-02,7.414205e-02,3.628445e-03,3.589605e-03
27.000,3.459529e-05,6.592645e-02,6.589185e-02,2.881431e-03,2.846835e-03
28.000,3.081464e-05,5.860926e-02,5.857845e-02,2.288331e-03,2.257517e-03
29.000,2.744714e-05,5.211894e-02,5.209150e-02,1.817390e-03,1.789943e-03
30.000,2.444743e-05,4.635895e-02,4.633450e-02,1.443417e-03,1.418969e-03
31.000,2.177520e-05,4.124466e-02,4.122288e-02,1.146429e-03,1.124654e-03
32.000,1.939458e-05,3.670177e-02,3.668237e-02,9.105663e-04,8.911717e-04
33.000,1.727364e-05,3.266494e-02,3.264766e-02,7.232416e-04,7.059680e-04
34.000,1.538399e-05,2.907660e-02,2.906122e-02,5.744616e-04,5.590776e-04
35.000,1.370034e-05,2.588600e-02,2.587230e-02,4.562924e-04,4.425920e-04
36.000,1.220018e-05,2.304831e-02,2.303611e-02,3.624341e-04,3.502340e-04
