n,loss_dB,rate_bits_per_round,ell_star,gamma_star,alpha_star
1000000,0.0,8.370343e-01,8.370343e+05,0.010000,1.001000
1000000,3.0,4.094792e-01,4.094792e+05,0.020000,1.003000
1000000,6.0,2.005350e-01,2.005350e+05,0.020000,1.003000
1000000,10.0,7.417437e-02,7.417437e+04,0.020000,1.003000
1000000,15.0,1.702595e-02,1.702595e+04,0.020000,1.003000
1000000,20.0,-8.035215e-04,-8.035215e+02,0.050000,1.010000
1000000,25.0,-6.090030e-03,-6.090030e+03,0.050000,1.010000
1000000,30.0,-7.761771e-03,-7.761771e+03,0.050000,1.010000
100000000,0.0,8.862065e-01,8.862065e+07,0.005000,1.000100
100000000,3.0,4.428292e-01,4.428292e+07,0.005000,1.000100
100000000,6.0,2.206141e-01,2.206141e+07,0.005000,1.000100
100000000,10.0,8.718657e-02,8.718657e+06,0.005000,1.000300
100000000,15.0,2.699437e-02,2.699437e+06,0.010000,1.001000
100000000,20.0,8.318233e-03,8.318233e+05,0.010000,1.001000
100000000,25.0,2.412319e-03,2.412319e+05,0.010000,1.001000
100000000,30.0,5.447048e-04,5.447048e+04,0.010000,1.001000
10000000000,0.0,8.922377e-01,8.922377e+09,0.005000,1.000010
10000000000,3.0,4.470456e-01,4.470456e+09,0.005000,1.000010
10000000000,6.0,2.239210e-01,2.239210e+09,0.005000,1.000010
10000000000,10.0,8.908087e-02,8.908087e+08,0.005000,1.000030
10000000000,15.0,2.810924e-02,2.810924e+08,0.005000,1.000030
10000000000,20.0,8.861549e-03,8.861549e+07,0.005000,1.000100
10000000000,25.0,2.783735e-03,2.783735e+07,0.005000,1.000100
10000000000,30.0,8.672118e-04,8.672118e+06,0.005000,1.000300
1000000000000,0.0,8.928407e-01,8.928407e+11,0.005000,1.000001
1000000000000,3.0,4.474671e-01,4.474671e+11,0.005000,1.000001
1000000000000,6.0,2.242516e-01,2.242516e+11,0.005000,1.000001
1000000000000,10.0,8.926979e-02,8.926979e+10,0.005000,1.000003
1000000000000,15.0,2.822353e-02,2.822353e+10,0.005000,1.000003
1000000000000,20.0,8.922372e-03,8.922372e+09,0.005000,1.000010
1000000000000,25.0,2.819681e-03,2.819681e+09,0.005000,1.000010
1000000000000,30.0,8.907623e-04,8.907623e+08,0.005000,1.000030
