qber,p_depol,log_neg_bits,bb84_SP_bits,sixstate_SP_bits,gap_bb84,gap_sixstate
0.00000,0.00000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000
0.00050,0.00067,0.9992784721,0.9875918814,0.9930034595,0.0116865907,0.0062750126
0.00100,0.00133,0.9985565831,0.9771844845,0.9870072798,0.0213720986,0.0115493034
0.00150,0.00200,0.9978343328,0.9675326972,0.9813889049,0.0303016356,0.0164454279
0.00200,0.00267,0.9971117207,0.9583718573,0.9760160037,0.0387398633,0.0210957170
0.00250,0.00333,0.9963887464,0.9495762682,0.9708257279,0.0468124782,0.0255630186
0.00300,0.00400,0.9956654097,0.9410718963,0.9657810607,0.0545935134,0.0298843491
0.00350,0.00467,0.9949417102,0.9328098228,0.9608575427,0.0621318873,0.0340841675
0.00400,0.00533,0.9942176474,0.9247552794,0.9560377897,0.0694623681,0.0381798577
0.00450,0.00600,0.9934932211,0.9168822696,0.9513088035,0.0766109515,0.0421844175
0.00500,0.00667,0.9927684308,0.9091706153,0.9466604952,0.0835978154,0.0461079356
0.00550,0.00733,0.9920432762,0.9016041970,0.9420848047,0.0904390792,0.0499584714
0.00600,0.00800,0.9913177569,0.8941698393,0.9375751447,0.0971479176,0.0537426122
0.00650,0.00867,0.9905918726,0.8868565715,0.9331260295,0.1037353011,0.0574658431
0.00700,0.00933,0.9898656229,0.8796551159,0.9287328205,0.1102105069,0.0611328024
0.00750,0.01000,0.9891390074,0.8725575243,0.9243915434,0.1165814831,0.0647474640
0.00800,0.01067,0.9884120257,0.8655569105,0.9200987552,0.1228551152,0.0683132705
0.00850,0.01133,0.9876846776,0.8586472511,0.9158514443,0.1290374265,0.0718332333
0.00900,0.01200,0.9869569625,0.8518232326,0.9116469538,0.1351337299,0.0753100087
0.00950,0.01267,0.9862288802,0.8450801331,0.9074829228,0.1411487472,0.0787459574
0.01000,0.01333,0.9855004303,0.8384137282,0.9033572391,0.1470867021,0.0821431912
0.01050,0.01400,0.9847716124,0.8318202168,0.8992680021,0.1529513956,0.0855036102
0.01100,0.01467,0.9840424261,0.8252961602,0.8952134926,0.1587462659,0.0888289335
0.01150,0.01533,0.9833128711,0.8188384325,0.8911921475,0.1644744385,0.0921207236
0.01200,0.01600,0.9825829469,0.8124441803,0.8872025401,0.1701387666,0.0953804068
0.01250,0.01667,0.9818526533,0.8061107879,0.8832433627,0.1757418654,0.0986092906
0.01300,0.01733,0.9811219898,0.7998358491,0.8793134121,0.1812861407,0.1018085777
0.01350,0.01800,0.9803909561,0.7936171432,0.8754115778,0.1867738129,0.1049793782
0.01400,0.01867,0.9796595517,0.7874526138,0.8715368319,0.1922069379,0.1081227198
0.01450,0.01933,0.9789277764,0.7813403519,0.8676882197,0.1975874245,0.1112395567
0.01500,0.02000,0.9781956297,0.7752785798,0.8638648524,0.2029170499,0.1143307773
0.01550,0.02067,0.9774631112,0.7692656388,0.8600659007,0.2081974724,0.1173972106
0.01600,0.02133,0.9767302207,0.7632999772,0.8562905886,0.2134302435,0.1204396321
0.01650,0.02200,0.9759969576,0.7573801402,0.8525381888,0.2186168174,0.1234587688
0.01700,0.02267,0.9752633217,0.7515047613,0.8488080182,0.2237585603,0.1264553035
0.01750,0.02333,0.9745293125,0.7456725547,0.8450994336,0.2288567578,0.1294298789
0.01800,0.02400,0.9737949297,0.7398823076,0.8414118288,0.2339126220,0.1323831008
0.01850,0.02467,0.9730601728,0.7341328752,0.8377446313,0.2389272976,0.1353155415
0.01900,0.02533,0.9723250416,0.7284231742,0.8340972996,0.2439018673,0.1382277420
0.01950,0.02600,0.9715895355,0.7227521786,0.8304693205,0.2488373569,0.1411202150
0.02000,0.02667,0.9708536543,0.7171189149,0.8268602074,0.2537347394,0.1439934469
0.02050,0.02733,0.9701173976,0.7115224584,0.8232694979,0.2585949392,0.1468478997
0.02100,0.02800,0.9693807649,0.7059619296,0.8196967523,0.2634188354,0.1496840127
0.02150,0.02867,0.9686437560,0.7004364906,0.8161415516,0.2682072653,0.1525022044
0.02200,0.02933,0.9679063703,0.6949453430,0.8126034965,0.2729610273,0.1553028738
0.02250,0.03000,0.9671686075,0.6894877243,0.8090822059,0.2776808833,0.1580864017
0.02300,0.03067,0.9664304673,0.6840629060,0.8055773155,0.2823675613,0.1608531518
0.02350,0.03133,0.9656919492,0.6786701915,0.8020884770,0.2870217577,0.1636034722
0.02400,0.03200,0.9649530529,0.6733089136,0.7986153568,0.2916441393,0.1663376961
0.02450,0.03267,0.9642137779,0.6679784332,0.7951576353,0.2962353448,0.1690561426
0.02500,0.03333,0.9634741240,0.6626781370,0.7917150060,0.3007959870,0.1717591180
0.02550,0.03400,0.9627340906,0.6574074365,0.7882871745,0.3053266541,0.1744469161
0.02600,0.03467,0.9619936774,0.6521657662,0.7848738581,0.3098279113,0.1771198194
0.02650,0.03533,0.9612528841,0.6469525823,0.7814747849,0.3143003018,0.1797780992
0.02700,0.03600,0.9605117101,0.6417673616,0.7780896933,0.3187443485,0.1824220168
0.02750,0.03667,0.9597701552,0.6366096005,0.7747183315,0.3231605547,0.1850518237
0.02800,0.03733,0.9590282189,0.6314788133,0.7713604566,0.3275494056,0.1876677623
0.02850,0.03800,0.9582859009,0.6263745321,0.7680158348,0.3319113688,0.1902700662
0.02900,0.03867,0.9575432008,0.6212963051,0.7646842400,0.3362468957,0.1928589607
0.02950,0.03933,0.9568001181,0.6162436963,0.7613654544,0.3405564218,0.1954346637
0.03000,0.04000,0.9560566524,0.6112162843,0.7580592671,0.3448403681,0.1979973853
0.03050,0.04067,0.9553128034,0.6062136621,0.7547654748,0.3490991413,0.2005473287
