loss_dB_total,rate_bits_per_signal
0.000,1.903050e-03
1.000,1.508671e-03
2.000,1.196034e-03
3.000,9.482041e-04
4.000,7.517446e-04
5.000,5.960031e-04
6.000,4.725350e-04
7.000,3.746475e-04
8.000,2.970365e-04
9.000,2.354989e-04
10.000,1.867036e-04
11.000,1.480107e-04
12.000,1.173278e-04
13.000,9.299647e-05
14.000,7.370184e-05
15.000,5.840159e-05
16.000,4.626921e-05
17.000,3.664934e-05
18.000,2.902222e-05
19.000,2.297565e-05
20.000,1.818267e-05
21.000,1.438396e-05
22.000,1.137380e-05
23.000,8.989001e-06
24.000,7.100106e-06
25.000,5.604423e-06
26.000,4.420486e-06
27.000,3.483673e-06
28.000,2.742722e-06
29.000,2.157759e-06
30.000,1.696636e-06
31.000,1.332332e-06
32.000,1.044713e-06
33.000,8.178102e-07
34.000,6.389608e-07
35.000,4.981272e-07
36.000,3.873531e-07
37.000,3.003339e-07
38.000,2.320751e-07
39.000,1.786215e-07
40.000,1.368417e-07
41.000,1.042579e-07
42.000,7.906517e-08
43.000,5.971711e-08
44.000,4.472786e-08
45.000,3.315687e-08
46.000,2.426185e-08
47.000,1.757447e-08
48.000,1.254333e-08
49.000,8.729261e-09
50.000,5.945190e-09
51.000,3.891183e-09
52.000,2.428864e-09
53.000,1.391022e-09
54.000,6.866761e-10
55.000,2.316512e-10
56.000,0.000000e+00
57.000,0.000000e+00
58.000,0.000000e+00
59.000,0.000000e+00
60.000,0.000000e+00
61.000,0.000000e+00
62.000,0.000000e+00
63.000,0.000000e+00
64.000,0.000000e+00
65.000,0.000000e+00
66.000,0.000000e+00
67.000,0.000000e+00
68.000,0.000000e+00
69.000,0.000000e+00
70.000,0.000000e+00
71.000,0.000000e+00
72.000,0.000000e+00
73.000,0.000000e+00
74.000,0.000000e+00
75.000,0.000000e+00
76.000,0.000000e+00
77.000,0.000000e+00
78.000,0.000000e+00
79.000,0.000000e+00
80.000,0.000000e+00
