dA,dC,dE,td_full,td_traced,margin,contraction_holds
2,2,2,1.2599798850,0.5851700663,6.7480981871e-01,True
2,2,2,1.1844510318,0.4779704421,7.0648058969e-01,True
2,2,2,1.2228824993,0.6437996541,5.7908284511e-01,True
2,2,2,1.2203426193,0.6461145613,5.7422805806e-01,True
2,2,2,1.0184931052,0.5259587574,4.9253434778e-01,True
2,2,2,1.0237476886,0.4678987154,5.5584897324e-01,True
2,2,2,1.2325461560,0.6229927706,6.0955338539e-01,True
2,2,2,1.0243791406,0.5667004825,4.5767865813e-01,True
2,2,2,1.1939077485,0.6269494139,5.6695833469e-01,True
2,2,2,1.1515796056,0.6737824139,4.7779719169e-01,True
2,2,2,1.2458909198,0.6441880171,6.0170290275e-01,True
2,2,2,1.3061970164,0.6587925400,6.4740447639e-01,True
2,2,2,1.1738401167,0.7452831548,4.2855696185e-01,True
2,2,2,1.2399327966,0.5968630068,6.4306978979e-01,True
2,2,2,1.1394152627,0.6342634487,5.0515181398e-01,True
2,2,2,0.9963314421,0.4234686687,5.7286277341e-01,True
2,2,2,1.0669051699,0.5061277149,5.6077745496e-01,True
2,2,2,1.1805806193,0.6356454512,5.4493516818e-01,True
2,2,2,1.2279834834,0.7966669064,4.3131657692e-01,True
2,2,2,1.0963060386,0.4868594470,6.0944659155e-01,True
2,2,2,1.1140297137,0.6706496890,4.4338002467e-01,True
2,2,2,1.2824116264,0.5892849828,6.9312664356e-01,True
2,2,2,1.1442525258,0.7312350074,4.1301751838e-01,True
2,2,2,1.2084297027,0.5705812412,6.3784846159e-01,True
2,2,2,1.1208960642,0.6092231008,5.1167296339e-01,True
2,2,2,0.9441322735,0.5860978131,3.5803446039e-01,True
2,2,2,1.0807009804,0.5505905368,5.3011044365e-01,True
2,2,2,1.2590502844,0.6325385796,6.2651170475e-01,True
2,2,2,1.0735720830,0.6348831541,4.3868892890e-01,True
2,2,2,1.1427632417,0.6188029716,5.2396027002e-01,True
2,2,2,1.1593664646,0.6626820183,4.9668444636e-01,True
2,2,2,1.1039288888,0.4177291339,6.8619975488e-01,True
2,2,2,1.1510577944,0.6173244987,5.3373329575e-01,True
2,2,2,1.1657890245,0.6572744747,5.0851454983e-01,True
2,2,2,1.1004772522,0.5283973399,5.7207991237e-01,True
2,2,2,1.1749455571,0.6647376465,5.1020791056e-01,True
2,2,2,1.1717277370,0.6433724474,5.2835528950e-01,True
2,2,2,1.0539571363,0.5984850784,4.5547205788e-01,True
2,2,2,1.1569333923,0.4273637123,7.2956968000e-01,True
2,2,2,1.1668284437,0.6103823618,5.5644608187e-01,True
2,2,2,1.0542471640,0.5195952982,5.3465186585e-01,True
2,2,2,1.2060264414,0.4350669250,7.7095951641e-01,True
