family,param,E_R_PPT_SDP,log_neg_analytic,K_D_or_E_R_analytic,sdp_time_s
AD,0.0500,0.855200,0.963474,,13.00
AD,0.1000,0.759000,0.925999,,14.30
AD,0.2000,0.612500,0.848072,,12.70
AD,0.3000,0.498400,0.765535,,12.20
AD,0.5000,0.321700,0.584963,,13.60
AD,0.7000,0.183000,0.378512,,13.60
AD,0.9000,0.061600,0.137504,,13.20
Dephasing,0.0500,0.713600,0.925999,0.713600,12.20
Dephasing,0.1000,0.531000,0.847997,0.531004,12.30
Dephasing,0.1500,0.390200,0.765535,0.390200,13.00
Dephasing,0.2000,0.278100,0.678072,0.278072,14.00
Dephasing,0.3000,0.118700,0.485427,0.118709,13.90
Dephasing,0.4000,0.029000,0.263034,0.029049,13.70
Depolarizing,0.0200,0.887600,0.978175,0.863900,11.00
Depolarizing,0.0500,0.769300,0.944858,0.709854,10.00
Depolarizing,0.1000,0.615700,0.887525,0.496816,10.70
Depolarizing,0.2000,0.390200,0.765535,0.152415,10.20
Depolarizing,0.3000,0.230800,0.632268,0.000000,10.40
Depolarizing,0.5000,0.045600,0.321928,0.000000,11.00
