noise_param,AD_1arm,AD_composed,DP_1arm,DP_composed,DE_1arm,DE_composed,ER_1arm,ER_composed
0.0000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
0.0010,0.9992784721,0.9985573052,0.9985565831,0.9971146118,0.9989175728,0.9978354164,0.9992784721,0.9985573052
0.0020,0.9985565831,0.9971146118,0.9971117207,0.9942292353,0.9978343328,0.9956697508,0.9985565831,0.9971146118
0.0030,0.9978343328,0.9956719214,0.9956654097,0.9913438819,0.9967502788,0.9935030032,0.9978343328,0.9956719214
0.0040,0.9971117207,0.9942292353,0.9942176474,0.9884585635,0.9956654097,0.9913351736,0.9971117207,0.9942292353
0.0050,0.9963887464,0.9927865550,0.9927684308,0.9855732919,0.9945797242,0.9891662621,0.9963887464,0.9927865550
0.0060,0.9956654097,0.9913438819,0.9913177569,0.9826880788,0.9934932211,0.9869962685,0.9956654097,0.9913438819
0.0070,0.9949417102,0.9899012176,0.9898656229,0.9798029362,0.9924058990,0.9848251930,0.9949417102,0.9899012176
0.0080,0.9942176474,0.9884585635,0.9884120257,0.9769178761,0.9913177569,0.9826530357,0.9942176474,0.9884585635
0.0090,0.9934932211,0.9870159211,0.9869569625,0.9740329106,0.9902287934,0.9804797964,0.9934932211,0.9870159211
0.0100,0.9927684308,0.9855732919,0.9855004303,0.9711480519,0.9891390074,0.9783054754,0.9927684308,0.9855732919
0.0110,0.9920432762,0.9841306772,0.9840424261,0.9682633120,0.9880483975,0.9761300725,0.9920432762,0.9841306772
0.0120,0.9913177569,0.9826880788,0.9825829469,0.9653787034,0.9869569625,0.9739535880,0.9913177569,0.9826880788
0.0130,0.9905918726,0.9812454979,0.9811219898,0.9624942383,0.9858647012,0.9717760218,0.9905918726,0.9812454979
0.0140,0.9898656229,0.9798029362,0.9796595517,0.9596099293,0.9847716124,0.9695973740,0.9898656229,0.9798029362
0.0150,0.9891390074,0.9783603951,0.9781956297,0.9567257887,0.9836776947,0.9674176446,0.9891390074,0.9783603951
0.0160,0.9884120257,0.9769178761,0.9767302207,0.9538418292,0.9825829469,0.9652368338,0.9884120257,0.9769178761
0.0170,0.9876846776,0.9754753808,0.9752633217,0.9509580635,0.9814873678,0.9630549417,0.9876846776,0.9754753808
0.0180,0.9869569625,0.9740329106,0.9737949297,0.9480745042,0.9803909561,0.9608719682,0.9869569625,0.9740329106
0.0190,0.9862288802,0.9725904671,0.9723250416,0.9451911641,0.9792937104,0.9586879135,0.9862288802,0.9725904671
0.0200,0.9855004303,0.9711480519,0.9708536543,0.9423080562,0.9781956297,0.9565027778,0.9855004303,0.9711480519
0.0210,0.9847716124,0.9697056663,0.9693807649,0.9394251933,0.9770967125,0.9543165610,0.9847716124,0.9697056663
0.0220,0.9840424261,0.9682633120,0.9679063703,0.9365425884,0.9759969576,0.9521292633,0.9840424261,0.9682633120
0.0230,0.9833128711,0.9668209905,0.9664304673,0.9336602548,0.9748963638,0.9499408848,0.9833128711,0.9668209905
0.0240,0.9825829469,0.9653787034,0.9649530529,0.9307782055,0.9737949297,0.9477514257,0.9825829469,0.9653787034
0.0250,0.9818526533,0.9639364521,0.9634741240,0.9278964537,0.9726926540,0.9455608860,0.9818526533,0.9639364521
0.0260,0.9811219898,0.9624942383,0.9619936774,0.9250150129,0.9715895355,0.9433692659,0.9811219898,0.9624942383
0.0270,0.9803909561,0.9610520635,0.9605117101,0.9221338964,0.9704855729,0.9411765655,0.9803909561,0.9610520635
0.0280,0.9796595517,0.9596099293,0.9590282189,0.9192531176,0.9693807649,0.9389827849,0.9796595517,0.9596099293
0.0290,0.9789277764,0.9581678372,0.9575432008,0.9163726902,0.9682751102,0.9367879244,0.9789277764,0.9581678372
0.0300,0.9781956297,0.9567257887,0.9560566524,0.9134926278,0.9671686075,0.9345919840,0.9781956297,0.9567257887
0.0310,0.9774631112,0.9552837856,0.9545685708,0.9106129439,0.9660612555,0.9323949639,0.9774631112,0.9552837856
0.0320,0.9767302207,0.9538418292,0.9530789526,0.9077336526,0.9649530529,0.9301968643,0.9767302207,0.9538418292
0.0330,0.9759969576,0.9523999214,0.9515877948,0.9048547675,0.9638439984,0.9279976853,0.9759969576,0.9523999214
0.0340,0.9752633217,0.9509580635,0.9500950942,0.9019763027,0.9627340906,0.9257974271,0.9752633217,0.9509580635
0.0350,0.9745293125,0.9495162572,0.9486008475,0.8990982721,0.9616233283,0.9235960899,0.9745293125,0.9495162572
0.0360,0.9737949297,0.9480745042,0.9471050516,0.8962206899,0.9605117101,0.9213936739,0.9737949297,0.9480745042
