pair,diagonal,t,param_A,param_B,log_neg_bits
AD_x_DP,equal,0.0010,0.0010,0.0010,0.9978350556
AD_x_DP,equal,0.0060,0.0060,0.0060,0.9869504586
AD_x_DP,equal,0.0110,0.0110,0.0110,0.9760203503
AD_x_DP,equal,0.0160,0.0160,0.0160,0.9650446135
AD_x_DP,equal,0.0211,0.0211,0.0211,0.9540231436
AD_x_DP,equal,0.0261,0.0261,0.0261,0.9429558497
AD_x_DP,equal,0.0311,0.0311,0.0311,0.9318426552
AD_x_DP,equal,0.0361,0.0361,0.0361,0.9206834993
AD_x_DP,equal,0.0411,0.0411,0.0411,0.9094783379
AD_x_DP,equal,0.0461,0.0461,0.0461,0.8982271454
AD_x_DP,equal,0.0512,0.0512,0.0512,0.8869299153
AD_x_DP,equal,0.0562,0.0562,0.0562,0.8755866621
AD_x_DP,equal,0.0612,0.0612,0.0612,0.8641974231
AD_x_DP,equal,0.0662,0.0662,0.0662,0.8527622594
AD_x_DP,equal,0.0712,0.0712,0.0712,0.8412812582
AD_x_DP,equal,0.0762,0.0762,0.0762,0.8297545346
AD_x_DP,equal,0.0812,0.0812,0.0812,0.8181822335
AD_x_DP,equal,0.0863,0.0863,0.0863,0.8065645319
AD_x_DP,equal,0.0913,0.0913,0.0913,0.7949016413
AD_x_DP,equal,0.0963,0.0963,0.0963,0.7831938101
AD_x_DP,equal,0.1013,0.1013,0.1013,0.7714413264
AD_x_DP,equal,0.1063,0.1063,0.1063,0.7596445207
AD_x_DP,equal,0.1113,0.1113,0.1113,0.7478037693
AD_x_DP,equal,0.1163,0.1163,0.1163,0.7359194973
AD_x_DP,equal,0.1214,0.1214,0.1214,0.7239921826
AD_x_DP,equal,0.1264,0.1264,0.1264,0.7120223592
AD_x_DP,equal,0.1314,0.1314,0.1314,0.7000106218
AD_x_DP,equal,0.1364,0.1364,0.1364,0.6879576297
AD_x_DP,equal,0.1414,0.1414,0.1414,0.6758641122
AD_x_DP,equal,0.1464,0.1464,0.1464,0.6637308731
AD_x_DP,equal,0.1515,0.1515,0.1515,0.6515587965
AD_x_DP,equal,0.1565,0.1565,0.1565,0.6393488525
AD_x_DP,equal,0.1615,0.1615,0.1615,0.6271021036
AD_x_DP,equal,0.1665,0.1665,0.1665,0.6148197116
AD_x_DP,equal,0.1715,0.1715,0.1715,0.6025029444
AD_x_DP,equal,0.1765,0.1765,0.1765,0.5901531844
AD_x_DP,equal,0.1815,0.1815,0.1815,0.5777719366
AD_x_DP,equal,0.1866,0.1866,0.1866,0.5653608376
AD_x_DP,equal,0.1916,0.1916,0.1916,0.5529216650
AD_x_DP,equal,0.1966,0.1966,0.1966,0.5404563485
AD_x_DP,equal,0.2016,0.2016,0.2016,0.5279669802
AD_x_DP,equal,0.2066,0.2066,0.2066,0.5154558268
AD_x_DP,equal,0.2116,0.2116,0.2116,0.5029253425
AD_x_DP,equal,0.2166,0.2166,0.2166,0.4903781821
AD_x_DP,equal,0.2217,0.2217,0.2217,0.4778172162
AD_x_DP,equal,0.2267,0.2267,0.2267,0.4652455462
AD_x_DP,equal,0.2317,0.2317,0.2317,0.4526665207
AD_x_DP,equal,0.2367,0.2367,0.2367,0.4400837536
AD_x_DP,equal,0.2417,0.2417,0.2417,0.4275011423
AD_x_DP,equal,0.2467,0.2467,0.2467,0.4149228873
AD_x_DP,equal,0.2518,0.2518,0.2518,0.4023535132
AD_x_DP,equal,0.2568,0.2568,0.2568,0.3897978906
AD_x_DP,equal,0.2618,0.2618,0.2618,0.3772612587
AD_x_DP,equal,0.2668,0.2668,0.2668,0.3647492493
AD_x_DP,equal,0.2718,0.2718,0.2718,0.3522679115
AD_x_DP,equal,0.2768,0.2768,0.2768,0.3398237372
AD_x_DP,equal,0.2818,0.2818,0.2818,0.3274236869
AD_x_DP,equal,0.2869,0.2869,0.2869,0.3150752159
AD_x_DP,equal,0.2919,0.2919,0.2919,0.3027863008
AD_x_DP,equal,0.2969,0.2969,0.2969,0.2905654651
AD_x_DP,equal,0.3019,0.3019,0.3019,0.2784218037
AD_x_DP,equal,0.3069,0.3069,0.3069,0.2663650068
AD_x_DP,equal,0.3119,0.3119,0.3119,0.2544053802
AD_x_DP,equal,0.3169,0.3169,0.3169,0.2425538631
AD_x_DP,equal,0.3220,0.3220,0.3220,0.2308220420
AD_x_DP,equal,0.3270,0.3270,0.3270,0.2192221586
AD_x_DP,equal,0.3320,0.3320,0.3320,0.2077671110
AD_x_DP,equal,0.3370,0.3370,0.3370,0.1964704470
AD_x_DP,equal,0.3420,0.3420,0.3420,0.1853463477
AD_x_DP,equal,0.3470,0.3470,0.3470,0.1744095986
AD_x_DP,equal,0.3521,0.3521,0.3521,0.1636755487
AD_x_DP,equal,0.3571,0.3571,0.3571,0.1531600530
AD_x_DP,equal,0.3621,0.3621,0.3621,0.1428793992
AD_x_DP,equal,0.3671,0.3671,0.3671,0.1328502155
AD_x_DP,equal,0.3721,0.3721,0.3721,0.1230893589
AD_x_DP,equal,0.3771,0.3771,0.3771,0.1136137833
AD_x_DP,equal,0.3821,0.3821,0.3821,0.1044403874
AD_x_DP,equal,0.3872,0.3872,0.3872,0.0955858431
AD_x_DP,equal,0.3922,0.3922,0.3922,0.0870664059
AD_x_DP,equal,0.3972,0.3972,0.3972,0.0788977105
AD_x_DP,equal,0.4022,0.4022,0.4022,0.0710945558
AD_x_DP,equal,0.4072,0.4072,0.4072,0.0636706830
AD_x_DP,equal,0.4122,0.4122,0.4122,0.0566385553
AD_x_DP,equal,0.4173,0.4173,0.4173,0.0500091434
AD_x_DP,equal,0.4223,0.4223,0.4223,0.0437917270
AD_x_DP,equal,0.4273,0.4273,0.4273,0.0379937171
AD_x_DP,equal,0.4323,0.4323,0.4323,0.0326205088
AD_x_DP,equal,0.4373,0.4373,0.4373,0.0276753692
AD_x_DP,equal,0.4423,0.4423,0.4423,0.0231593659
AD_x_DP,equal,0.4473,0.4473,0.4473,0.0190713396
AD_x_DP,equal,0.4524,0.4524,0.4524,0.0154079217
AD_x_DP,equal,0.4574,0.4574,0.4574,0.0121635964
AD_x_DP,equal,0.4624,0.4624,0.4624,0.0093308039
AD_x_DP,equal,0.4674,0.4674,0.4674,0.0069000811
AD_x_DP,equal,0.4724,0.4724,0.4724,0.0048602323
AD_x_DP,equal,0.4774,0.4774,0.4774,0.0031985246
AD_x_DP,equal,0.4824,0.4824,0.4824,0.0019008986
AD_x_DP,equal,0.4875,0.4875,0.4875,0.0009521889
AD_x_DP,equal,0.4925,0.4925,0.4925,0.0003363449
AD_x_DP,equal,0.4975,0.4975,0.4975,0.0000366486
AD_x_DP,equal,0.5025,0.5025,0.5025,0.0000359208
AD_x_DP,equal,0.5075,0.5075,0.5075,0.0003167141
AD_x_DP,equal,0.5125,0.5125,0.5125,0.0008614879
AD_x_DP,equal,0.5176,0.5176,0.5176,0.0016527651
AD_x_DP,equal,0.5226,0.5226,0.5226,0.0026732673
AD_x_DP,equal,0.5276,0.5276,0.5276,0.0039060306
AD_x_DP,equal,0.5326,0.5326,0.5326,0.0053345012
AD_x_DP,equal,0.5376,0.5376,0.5376,0.0069426124
AD_x_DP,equal,0.5426,0.5426,0.5426,0.0087148443
AD_x_DP,equal,0.5476,0.5476,0.5476,0.0106362682
AD_x_DP,equal,0.5527,0.5527,0.5527,0.0126925764
AD_x_DP,equal,0.5577,0.5577,0.5577,0.0148701013
AD_x_DP,equal,0.5627,0.5627,0.5627,0.0171558229
AD_x_DP,equal,0.5677,0.5677,0.5677,0.0195373688
AD_x_DP,equal,0.5727,0.5727,0.5727,0.0220030066
AD_x_DP,equal,0.5777,0.5777,0.5777,0.0245416309
AD_x_DP,equal,0.5827,0.5827,0.5827,0.0271427456
AD_x_DP,equal,0.5878,0.5878,0.5878,0.0297964432
AD_x_DP,equal,0.5928,0.5928,0.5928,0.0324933809
AD_x_DP,equal,0.5978,0.5978,0.5978,0.0352247560
AD_x_DP,equal,0.6028,0.6028,0.6028,0.0379822794
AD_x_DP,equal,0.6078,0.6078,0.6078,0.0407581490
AD_x_DP,equal,0.6128,0.6128,0.6128,0.0435450225
AD_x_DP,equal,0.6179,0.6179,0.6179,0.0463359912
AD_x_DP,equal,0.6229,0.6229,0.6229,0.0491245534
AD_x_DP,equal,0.6279,0.6279,0.6279,0.0519045892
AD_x_DP,equal,0.6329,0.6329,0.6329,0.0546703357
AD_x_DP,equal,0.6379,0.6379,0.6379,0.0574163635
AD_x_DP,equal,0.6429,0.6429,0.6429,0.0601375535
AD_x_DP,equal,0.6479,0.6479,0.6479,0.0628290758
AD_x_DP,equal,0.6530,0.6530,0.6530,0.0654863689
AD_x_DP,equal,0.6580,0.6580,0.6580,0.0681051198
AD_x_DP,equal,0.6630,0.6630,0.6630,0.0706812463
AD_x_DP,equal,0.6680,0.6680,0.6680,0.0732108788
AD_x_DP,equal,0.6730,0.6730,0.6730,0.0756903442
AD_x_DP,equal,0.6780,0.6780,0.6780,0.0781161502
AD_x_DP,equal,0.6831,0.6831,0.6831,0.0804849709
AD_x_DP,equal,0.6881,0.6881,0.6881,0.0827936329
AD_x_DP,equal,0.6931,0.6931,0.6931,0.0850391021
AD_x_DP,equal,0.6981,0.6981,0.6981,0.0872184720
AD_x_DP,equal,0.7031,0.7031,0.7031,0.0893289518
AD_x_DP,equal,0.7081,0.7081,0.7081,0.0913678556
AD_x_DP,equal,0.7131,0.7131,0.7131,0.0933325923
AD_x_DP,equal,0.7182,0.7182,0.7182,0.0952206560
AD_x_DP,equal,0.7232,0.7232,0.7232,0.0970296167
AD_x_DP,equal,0.7282,0.7282,0.7282,0.0987571115
AD_x_DP,equal,0.7332,0.7332,0.7332,0.1004008369
AD_x_DP,equal,0.7382,0.7382,0.7382,0.1019585406
AD_x_DP,equal,0.7432,0.7432,0.7432,0.1034280140
AD_x_DP,equal,0.7482,0.7482,0.7482,0.1048070855
AD_x_DP,equal,0.7533,0.7533,0.7533,0.1060936131
AD_x_DP,equal,0.7583,0.7583,0.7583,0.1072854784
AD_x_DP,equal,0.7633,0.7633,0.7633,0.1083805801
AD_x_DP,equal,0.7683,0.7683,0.7683,0.1093768275
AD_x_DP,equal,0.7733,0.7733,0.7733,0.1102721352
AD_x_DP,equal,0.7783,0.7783,0.7783,0.1110644170
AD_x_DP,equal,0.7834,0.7834,0.7834,0.1117515800
AD_x_DP,equal,0.7884,0.7884,0.7884,0.1123315196
AD_x_DP,equal,0.7934,0.7934,0.7934,0.1128021133
AD_x_DP,equal,0.7984,0.7984,0.7984,0.1131612159
AD_x_DP,equal,0.8034,0.8034,0.8034,0.1134066533
AD_x_DP,equal,0.8084,0.8084,0.8084,0.1135362179
AD_x_DP,equal,0.8134,0.8134,0.8134,0.1135476625
AD_x_DP,equal,0.8185,0.8185,0.8185,0.1134386948
AD_x_DP,equal,0.8235,0.8235,0.8235,0.1132069720
AD_x_DP,equal,0.8285,0.8285,0.8285,0.1128500951
AD_x_DP,equal,0.8335,0.8335,0.8335,0.1123656025
AD_x_DP,equal,0.8385,0.8385,0.8385,0.1117509644
AD_x_DP,equal,0.8435,0.8435,0.8435,0.1110035767
AD_x_DP,equal,0.8485,0.8485,0.8485,0.1101207538
AD_x_DP,equal,0.8536,0.8536,0.8536,0.1090997225
AD_x_DP,equal,0.8586,0.8586,0.8586,0.1079376148
AD_x_DP,equal,0.8636,0.8636,0.8636,0.1066314602
AD_x_DP,equal,0.8686,0.8686,0.8686,0.1051781784
AD_x_DP,equal,0.8736,0.8736,0.8736,0.1035745704
AD_x_DP,equal,0.8786,0.8786,0.8786,0.1018173106
AD_x_DP,equal,0.8837,0.8837,0.8837,0.0999029372
AD_x_DP,equal,0.8887,0.8887,0.8887,0.0978278421
AD_x_DP,equal,0.8937,0.8937,0.8937,0.0955882609
AD_x_DP,equal,0.8987,0.8987,0.8987,0.0931802616
AD_x_DP,equal,0.9037,0.9037,0.9037,0.0905997324
AD_x_DP,equal,0.9087,0.9087,0.9087,0.0878423690
AD_x_DP,equal,0.9137,0.9137,0.9137,0.0849036606
AD_x_DP,equal,0.9188,0.9188,0.9188,0.0817788748
AD_x_DP,equal,0.9238,0.9238,0.9238,0.0784630416
AD_x_DP,equal,0.9288,0.9288,0.9288,0.0749509359
AD_x_DP,equal,0.9338,0.9338,0.9338,0.0712370580
AD_x_DP,equal,0.9388,0.9388,0.9388,0.0673156130
AD_x_DP,equal,0.9438,0.9438,0.9438,0.0631804882
AD_x_DP,equal,0.9488,0.9488,0.9488,0.0588252282
AD_x_DP,equal,0.9539,0.9539,0.9539,0.0542430078
AD_x_DP,equal,0.9589,0.9589,0.9589,0.0494266019
AD_x_DP,equal,0.9639,0.9639,0.9639,0.0443683530
AD_x_DP,equal,0.9689,0.9689,0.9689,0.0390601345
AD_x_DP,equal,0.9739,0.9739,0.9739,0.0334933111
AD_x_DP,equal,0.9789,0.9789,0.9789,0.0276586941
AD_x_DP,equal,0.9840,0.9840,0.9840,0.0215464921
AD_x_DP,equal,0.9890,0.9890,0.9890,0.0151462560
AD_x_DP,equal,0.9940,0.9940,0.9940,0.0084468176
AD_x_DP,equal,0.9990,0.9990,0.9990,0.0014362206
AD_x_DE,equal,0.0010,0.0010,0.0010,0.9981962256
AD_x_DE,equal,0.0060,0.0060,0.0060,0.9891379516
AD_x_DE,equal,0.0110,0.0110,0.0110,0.9800594027
AD_x_DE,equal,0.0160,0.0160,0.0160,0.9709606994
AD_x_DE,equal,0.0211,0.0211,0.0211,0.9618419702
AD_x_DE,equal,0.0261,0.0261,0.0261,0.9527033515
AD_x_DE,equal,0.0311,0.0311,0.0311,0.9435449879
AD_x_DE,equal,0.0361,0.0361,0.0361,0.9343670330
AD_x_DE,equal,0.0411,0.0411,0.0411,0.9251696489
AD_x_DE,equal,0.0461,0.0461,0.0461,0.9159530073
AD_x_DE,equal,0.0512,0.0512,0.0512,0.9067172893
AD_x_DE,equal,0.0562,0.0562,0.0562,0.8974626861
AD_x_DE,equal,0.0612,0.0612,0.0612,0.8881893988
AD_x_DE,equal,0.0662,0.0662,0.0662,0.8788976397
AD_x_DE,equal,0.0712,0.0712,0.0712,0.8695876317
AD_x_DE,equal,0.0762,0.0762,0.0762,0.8602596093
AD_x_DE,equal,0.0812,0.0812,0.0812,0.8509138187
AD_x_DE,equal,0.0863,0.0863,0.0863,0.8415505185
AD_x_DE,equal,0.0913,0.0913,0.0913,0.8321699798
AD_x_DE,equal,0.0963,0.0963,0.0963,0.8227724870
AD_x_DE,equal,0.1013,0.1013,0.1013,0.8133583378
AD_x_DE,equal,0.1063,0.1063,0.1063,0.8039278441
AD_x_DE,equal,0.1113,0.1113,0.1113,0.7944813322
AD_x_DE,equal,0.1163,0.1163,0.1163,0.7850191437
AD_x_DE,equal,0.1214,0.1214,0.1214,0.7755416353
AD_x_DE,equal,0.1264,0.1264,0.1264,0.7660491800
