family,param,n,log_neg_bits,effective_param
AD,0.05,1,0.9634741240,0.0500000000
AD,0.05,2,0.9278964537,0.0975000000
AD,0.05,3,0.8932651217,0.1426250000
AD,0.05,4,0.8595770261,0.1854937500
AD,0.05,5,0.8268278474,0.2262190625
AD,0.05,6,0.7950120701,0.2649081094
AD,0.05,7,0.7641230119,0.3016627039
AD,0.05,8,0.7341528574,0.3365795687
AD,0.05,9,0.7050926974,0.3697505903
AD,0.05,10,0.6769325732,0.4012630608
AD,0.05,11,0.6496615255,0.4311999077
AD,0.05,12,0.6232676470,0.4596399123
AD,0.05,13,0.5977381383,0.4866579167
AD,0.05,14,0.5730593670,0.5123250209
AD,0.05,15,0.5492169291,0.5367087698
AD,0.05,16,0.5261957118,0.5598733313
AD,0.05,17,0.5039799583,0.5818796648
AD,0.05,18,0.4825533325,0.6027856815
AD,0.05,19,0.4618989844,0.6226463975
AD,0.05,20,0.4419996154,0.6415140776
AD,0.10,1,0.9259994186,0.1000000000
AD,0.10,2,0.8559896973,0.1900000000
AD,0.10,3,0.7899378690,0.2710000000
AD,0.10,4,0.7277897895,0.3439000000
AD,0.10,5,0.6694713011,0.4095100000
AD,0.10,6,0.6148897870,0.4685590000
AD,0.10,7,0.5639360483,0.5217031000
AD,0.10,8,0.5164864277,0.5695327900
AD,0.10,9,0.4724050951,0.6125795110
AD,0.10,10,0.4315464134,0.6513215599
AD,0.10,11,0.3937573063,0.6861894039
AD,0.10,12,0.3588795586,0.7175704635
AD,0.10,13,0.3267519910,0.7458134172
AD,0.10,14,0.2972124619,0.7712320755
AD,0.10,15,0.2700996665,0.7941088679
AD,0.10,16,0.2452547094,0.8146979811
AD,0.10,17,0.2225224439,0.8332281830
AD,0.10,18,0.2017525779,0.8499053647
AD,0.10,19,0.1828005550,0.8649148282
AD,0.10,20,0.1655282253,0.8784233454
AD,0.20,1,0.8479969066,0.2000000000
AD,0.20,2,0.7136958148,0.3600000000
AD,0.20,3,0.5964581396,0.4880000000
AD,0.20,4,0.4952858294,0.5904000000
AD,0.20,5,0.4089074674,0.6723200000
AD,0.20,6,0.3358765191,0.7378560000
AD,0.20,7,0.2746674377,0.7902848000
AD,0.20,8,0.2237588224,0.8322278400
AD,0.20,9,0.1816976111,0.8657822720
AD,0.20,10,0.1471427920,0.8926258176
AD,0.20,11,0.1188903832,0.9141006541
AD,0.20,12,0.0958832164,0.9312805233
AD,0.20,13,0.0772096065,0.9450244186
AD,0.20,14,0.0620947166,0.9560195349
AD,0.20,15,0.0498877426,0.9648156279
AD,0.20,16,0.0400472479,0.9718525023
AD,0.20,17,0.0321262374,0.9774820019
AD,0.20,18,0.0257579666,0.9819856015
AD,0.20,19,0.0206430327,0.9855884812
AD,0.20,20,0.0165379885,0.9884707850
AD,0.30,1,0.7655347464,0.3000000000
AD,0.30,2,0.5753123307,0.5100000000
AD,0.30,3,0.4254593048,0.6570000000
