noise_param,AD_log_neg_bits,dephase_log_neg_bits,depol_log_neg_bits
0.0000,1.0000000000,1.0000000000,1.0000000000
0.0010,0.9992784721,0.9985565831,0.9989175728
0.0020,0.9985565831,0.9971117207,0.9978343328
0.0030,0.9978343328,0.9956654097,0.9967502788
0.0040,0.9971117207,0.9942176474,0.9956654097
0.0050,0.9963887464,0.9927684308,0.9945797242
0.0060,0.9956654097,0.9913177569,0.9934932211
0.0070,0.9949417102,0.9898656229,0.9924058990
0.0080,0.9942176474,0.9884120257,0.9913177569
0.0090,0.9934932211,0.9869569625,0.9902287934
0.0100,0.9927684308,0.9855004303,0.9891390074
0.0110,0.9920432762,0.9840424261,0.9880483975
0.0120,0.9913177569,0.9825829469,0.9869569625
0.0130,0.9905918726,0.9811219898,0.9858647012
0.0140,0.9898656229,0.9796595517,0.9847716124
0.0150,0.9891390074,0.9781956297,0.9836776947
0.0160,0.9884120257,0.9767302207,0.9825829469
0.0170,0.9876846776,0.9752633217,0.9814873678
0.0180,0.9869569625,0.9737949297,0.9803909561
0.0190,0.9862288802,0.9723250416,0.9792937104
0.0200,0.9855004303,0.9708536543,0.9781956297
0.0210,0.9847716124,0.9693807649,0.9770967125
0.0220,0.9840424261,0.9679063703,0.9759969576
0.0230,0.9833128711,0.9664304673,0.9748963638
0.0240,0.9825829469,0.9649530529,0.9737949297
0.0250,0.9818526533,0.9634741240,0.9726926540
0.0260,0.9811219898,0.9619936774,0.9715895355
0.0270,0.9803909561,0.9605117101,0.9704855729
0.0280,0.9796595517,0.9590282189,0.9693807649
0.0290,0.9789277764,0.9575432008,0.9682751102
0.0300,0.9781956297,0.9560566524,0.9671686075
0.0310,0.9774631112,0.9545685708,0.9660612555
0.0320,0.9767302207,0.9530789526,0.9649530529
0.0330,0.9759969576,0.9515877948,0.9638439984
0.0340,0.9752633217,0.9500950942,0.9627340906
0.0350,0.9745293125,0.9486008475,0.9616233283
0.0360,0.9737949297,0.9471050516,0.9605117101
0.0370,0.9730601728,0.9456077032,0.9593992348
0.0380,0.9723250416,0.9441087991,0.9582859009
0.0390,0.9715895355,0.9426083361,0.9571717072
0.0400,0.9708536543,0.9411063109,0.9560566524
0.0410,0.9701173976,0.9396027204,0.9549407351
0.0420,0.9693807649,0.9380975611,0.9538239539
0.0430,0.9686437560,0.9365908298,0.9527063076
0.0440,0.9679063703,0.9350825233,0.9515877948
0.0450,0.9671686075,0.9335726383,0.9504684142
0.0460,0.9664304673,0.9320611713,0.9493481643
0.0470,0.9656919492,0.9305481192,0.9482270439
0.0480,0.9649530529,0.9290334786,0.9471050516
0.0490,0.9642137779,0.9275172462,0.9459821860
0.0500,0.9634741240,0.9259994186,0.9448584458
0.0510,0.9627340906,0.9244799924,0.9437338296
0.0520,0.9619936774,0.9229589642,0.9426083361
0.0530,0.9612528841,0.9214363308,0.9414819639
0.0540,0.9605117101,0.9199120887,0.9403547115
0.0550,0.9597701552,0.9183862344,0.9392265777
0.0560,0.9590282189,0.9168587647,0.9380975611
0.0570,0.9582859009,0.9153296760,0.9369676602
0.0580,0.9575432008,0.9137989650,0.9358368737
0.0590,0.9568001181,0.9122666281,0.9347052002
0.0600,0.9560566524,0.9107326619,0.9335726383
0.0610,0.9553128034,0.9091970630,0.9324391866
0.0620,0.9545685708,0.9076598279,0.9313048437
0.0630,0.9538239539,0.9061209530,0.9301696082
0.0640,0.9530789526,0.9045804349,0.9290334786
0.0650,0.9523335664,0.9030382701,0.9278964537
0.0660,0.9515877948,0.9014944550,0.9267585320
0.0670,0.9508416375,0.8999489862,0.9256197120
0.0680,0.9500950942,0.8984018600,0.9244799924
0.0690,0.9493481643,0.8968530729,0.9233393716
0.0700,0.9486008475,0.8953026213,0.9221978484
0.0710,0.9478531434,0.8937505017,0.9210554212
0.0720,0.9471050516,0.8921967105,0.9199120887
0.0730,0.9463565716,0.8906412440,0.9187678493
0.0740,0.9456077032,0.8890840986,0.9176227017
0.0750,0.9448584458,0.8875252707,0.9164766444
0.0760,0.9441087991,0.8859647568,0.9153296760
0.0770,0.9433587627,0.8844025530,0.9141817950
0.0780,0.9426083361,0.8828386558,0.9130330000
0.0790,0.9418575190,0.8812730614,0.9118832894
0.0800,0.9411063109,0.8797057663,0.9107326619
