noise_param,dephase_log_neg,dephase_K_D_PLOB,dephase_gap_bits,depol_log_neg,depol_E_R,depol_gap_bits
0.0000,1.0000000000,1.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000
0.0010,0.9985565831,0.9885922423,0.0099643409,0.9989175728,0.9899440464,0.0089735264
0.0020,0.9971117207,0.9791859287,0.0179257920,0.9978343328,0.9813889049,0.0164454279
0.0030,0.9956654097,0.9705359482,0.0251294616,0.9967502788,0.9734007417,0.0233495371
0.0040,0.9942176474,0.9623776397,0.0318400077,0.9956654097,0.9657810607,0.0298843491
0.0050,0.9927684308,0.9545853077,0.0381831231,0.9945797242,0.9584355895,0.0361441347
0.0060,0.9913177569,0.9470849197,0.0442328372,0.9934932211,0.9513088035,0.0421844175
0.0070,0.9898656229,0.9398275580,0.0500380649,0.9924058990,0.9443640139,0.0480418851
0.0080,0.9884120257,0.9327784552,0.0556335705,0.9913177569,0.9375751447,0.0537426122
0.0090,0.9869569625,0.9259116163,0.0610453462,0.9902287934,0.9309226989,0.0593060945
0.0100,0.9855004303,0.9192068641,0.0662935662,0.9891390074,0.9243915434,0.0647474640
0.0110,0.9840424261,0.9126480801,0.0713943460,0.9880483975,0.9179695887,0.0700788088
0.0120,0.9825829469,0.9062220902,0.0763608568,0.9869569625,0.9116469538,0.0753100087
0.0130,0.9811219898,0.8999179246,0.0812040652,0.9858647012,0.9054154109,0.0804492904
0.0140,0.9796595517,0.8937263069,0.0859332448,0.9847716124,0.8992680021,0.0855036102
0.0150,0.9781956297,0.8876392899,0.0905563398,0.9836776947,0.8931987666,0.0904789281
0.0160,0.9767302207,0.8816499886,0.0950802321,0.9825829469,0.8872025401,0.0953804068
0.0170,0.9752633217,0.8757523807,0.0995109410,0.9814873678,0.8812748055,0.1002125623
0.0180,0.9737949297,0.8699411538,0.1038537758,0.9803909561,0.8754115778,0.1049793782
0.0190,0.9723250416,0.8642115871,0.1081134544,0.9792937104,0.8696093161,0.1096843944
0.0200,0.9708536543,0.8585594575,0.1122941969,0.9781956297,0.8638648524,0.1143307773
0.0210,0.9693807649,0.8529809648,0.1163998002,0.9770967125,0.8581753362,0.1189213763
0.0220,0.9679063703,0.8474726715,0.1204336988,0.9759969576,0.8525381888,0.1234587688
0.0230,0.9664304673,0.8420314530,0.1243990143,0.9748963638,0.8469510663,0.1279452974
0.0240,0.9649530529,0.8366544568,0.1282985961,0.9737949297,0.8414118288,0.1323831008
0.0250,0.9634741240,0.8313390685,0.1321350555,0.9726926540,0.8359185150,0.1367741390
0.0260,0.9619936774,0.8260828831,0.1359107943,0.9715895355,0.8304693205,0.1411202150
