loss_dB_total,rate_bits_per_signal
0.000,8.251346e-04
1.000,7.303420e-04
2.000,6.469143e-04
3.000,5.733930e-04
4.000,5.085257e-04
5.000,4.512335e-04
6.000,4.005835e-04
7.000,3.557675e-04
8.000,3.160833e-04
9.000,2.809189e-04
10.000,2.497405e-04
11.000,2.220809e-04
12.000,1.975310e-04
13.000,1.757315e-04
14.000,1.563665e-04
15.000,1.391582e-04
16.000,1.238614e-04
17.000,1.102601e-04
18.000,9.816320e-05
19.000,8.740194e-05
20.000,7.782689e-05
21.000,6.930579e-05
22.000,6.172139e-05
23.000,5.496976e-05
24.000,4.895870e-05
25.000,4.360636e-05
26.000,3.884008e-05
27.000,3.459529e-05
28.000,3.081464e-05
29.000,2.744714e-05
30.000,2.444743e-05
31.000,2.177520e-05
32.000,1.939458e-05
33.000,1.727364e-05
34.000,1.538399e-05
35.000,1.370034e-05
36.000,1.220018e-05
37.000,1.086349e-05
38.000,9.672415e-06
39.000,8.611072e-06
40.000,7.665311e-06
41.000,6.822532e-06
42.000,6.071510e-06
43.000,5.402247e-06
44.000,4.805836e-06
45.000,4.274342e-06
46.000,3.800695e-06
47.000,3.378599e-06
48.000,3.002442e-06
49.000,2.667223e-06
50.000,2.368489e-06
51.000,2.102269e-06
52.000,1.865027e-06
53.000,1.653612e-06
54.000,1.465215e-06
55.000,1.297334e-06
56.000,1.147740e-06
57.000,1.014445e-06
58.000,8.956794e-07
59.000,7.898658e-07
60.000,6.955986e-07
61.000,6.116256e-07
62.000,5.368310e-07
63.000,4.702207e-07
64.000,4.109089e-07
65.000,3.581066e-07
66.000,3.111107e-07
67.000,2.692951e-07
68.000,2.321016e-07
69.000,1.990332e-07
70.000,1.696470e-07
71.000,1.435484e-07
72.000,1.203858e-07
73.000,9.984589e-08
74.000,8.164933e-08
75.000,6.554716e-08
76.000,5.131739e-08
77.000,3.876199e-08
78.000,2.770426e-08
79.000,1.798644e-08
80.000,9.467633e-09
