loss_dB_total,M,rate
0.0,4.0,0.003300538416749168
0.0,8.0,0.001650269208374584
0.0,16.0,0.000825134604187292
0.0,32.0,0.000412567302093646
0.0,64.0,0.000206283651046823
1.2244897959183674,4.0,0.002842717887004958
1.2244897959183674,8.0,0.001421358943502479
1.2244897959183674,16.0,0.0007106794717512395
1.2244897959183674,32.0,0.00035533973587561975
1.2244897959183674,64.0,0.00017766986793780988
2.4489795918367347,4.0,0.002451033924963157
2.4489795918367347,8.0,0.0012255169624815784
2.4489795918367347,16.0,0.0006127584812407892
2.4489795918367347,32.0,0.0003063792406203946
2.4489795918367347,64.0,0.0001531896203101973
3.673469387755102,4.0,0.002115298926571216
3.673469387755102,8.0,0.001057649463285608
3.673469387755102,16.0,0.000528824731642804
3.673469387755102,32.0,0.000264412365821402
3.673469387755102,64.0,0.000132206182910701
4.8979591836734695,4.0,0.0018270427017675528
4.8979591836734695,8.0,0.0009135213508837764
4.8979591836734695,16.0,0.0004567606754418882
4.8979591836734695,32.0,0.0002283803377209441
4.8979591836734695,64.0,0.00011419016886047205
6.122448979591837,4.0,0.001579189756294832
6.122448979591837,8.0,0.000789594878147416
6.122448979591837,16.0,0.000394797439073708
6.122448979591837,32.0,0.000197398719536854
6.122448979591837,64.0,9.8699359768427e-05
7.346938775510204,4.0,0.0013658042662541435
7.346938775510204,8.0,0.0006829021331270717
7.346938775510204,16.0,0.0003414510665635359
7.346938775510204,32.0,0.00017072553328176794
7.346938775510204,64.0,8.536276664088397e-05
8.571428571428571,4.0,0.001181887115033121
8.571428571428571,8.0,0.0005909435575165605
8.571428571428571,16.0,0.00029547177875828025
8.571428571428571,32.0,0.00014773588937914013
8.571428571428571,64.0,7.386794468957006e-05
9.795918367346939,4.0,0.0010232132616347339
9.795918367346939,8.0,0.0005116066308173669
9.795918367346939,16.0,0.00025580331540868347
9.795918367346939,32.0,0.00012790165770434173
9.795918367346939,64.0,6.395082885217087e-05
11.020408163265307,4.0,0.0008862005726261184
11.020408163265307,8.0,0.0004431002863130592
11.020408163265307,16.0,0.0002215501431565296
11.020408163265307,32.0,0.0001107750715782648
11.020408163265307,64.0,5.53875357891324e-05
12.244897959183675,4.0,0.0007678033681203122
12.244897959183675,8.0,0.0003839016840601561
12.244897959183675,16.0,0.00019195084203007805
12.244897959183675,32.0,9.597542101503902e-05
12.244897959183675,64.0,4.798771050751951e-05
13.46938775510204,4.0,0.0006654255102136522
13.46938775510204,8.0,0.0003327127551068261
13.46938775510204,16.0,0.00016635637755341306
13.46938775510204,32.0,8.317818877670653e-05
13.46938775510204,64.0,4.1589094388353264e-05
14.693877551020408,4.0,0.0005768490456233479
14.693877551020408,8.0,0.00028842452281167396
14.693877551020408,16.0,0.00014421226140583698
14.693877551020408,32.0,7.210613070291849e-05
14.693877551020408,64.0,3.6053065351459245e-05
15.918367346938776,4.0,0.0005001753071833175
15.918367346938776,8.0,0.00025008765359165873
15.918367346938776,16.0,0.00012504382679582937
15.918367346938776,32.0,6.252191339791468e-05
15.918367346938776,64.0,3.126095669895734e-05
17.142857142857142,4.0,0.0004337760567051492
17.142857142857142,8.0,0.0002168880283525746
17.142857142857142,16.0,0.0001084440141762873
17.142857142857142,32.0,5.422200708814365e-05
17.142857142857142,64.0,2.7111003544071824e-05
18.367346938775512,4.0,0.0003762527693265784
18.367346938775512,8.0,0.0001881263846632892
18.367346938775512,16.0,9.40631923316446e-05
18.367346938775512,32.0,4.70315961658223e-05
18.367346938775512,64.0,2.351579808291115e-05
